Disease,disease_encoded,symptoms_text,symptoms_clean,symptom_count
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, vomiting, headache, fatigue, dehydration, loss of appetite, body aches, feverish, chills, joint pain",fever abdominal pain cramp vomiting headache fatigue dehydration loss appetite body ache feverish chill joint pain,11
Norovirus Infection,8,"vomiting, low-grade fever, fatigue, loss of appetite, dehydration, chills, body aches, rashes, general discomfort",vomiting low-grade fever fatigue loss appetite dehydration chill body ache rash general discomfort,9
Roseola,10,"runny nose, rash, irritability, fatigue, headache, red eyes, vomiting, loss of appetite",runny nose rash irritability fatigue headache red eye vomiting loss appetite,8
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, muscle aches, nausea, headache, dehydration, sweating, body aches, fever",vomiting stomach cramp low-grade fever muscle ache nausea headache dehydration sweating body ache fever,10
Impetigo,5,"discolored sores, blisters, yellow crust, fever",discolored sore blister yellow crust fever,4
Norovirus Infection,8,"low-grade fever, muscle aches, nausea, headache, fatigue, loss of appetite, chills, body aches",low-grade fever muscle ache nausea headache fatigue loss appetite chill body ache,8
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, nausea, vomiting, bloody stools, stomach cramps, muscle aches, body aches, feverish, rashes, chills, joint pain",abdominal pain cramp diarrhea nausea vomiting bloody stool stomach cramp muscle ache body ache feverish rash chill joint pain,12
Mumps,7,"headache, tiredness, trouble chewing, testicle pain and tenderness, fever, muscle aches",headache tiredness trouble chewing testicle pain tenderness fever muscle ache,6
Shigellosis (Bacillary Dysentery),13,"bloody stools, stomach cramps, dehydration, loss of appetite, body aches, feverish, general discomfort, joint pain",bloody stool stomach cramp dehydration loss appetite body ache feverish general discomfort joint pain,8
Norovirus Infection,8,"diarrhea, stomach cramps, headache, chills, general discomfort, fever, irritability",diarrhea stomach cramp headache chill general discomfort fever irritability,7
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, nausea, vomiting, bloody stools, fatigue, dehydration, muscle aches, body aches, rashes, chills, joint pain",abdominal pain cramp nausea vomiting bloody stool fatigue dehydration muscle ache body ache rash chill joint pain,11
Norovirus Infection,8,"low-grade fever, muscle aches, nausea, headache, fatigue, abdominal pain, body aches, fever",low-grade fever muscle ache nausea headache fatigue abdominal pain body ache fever,8
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, stomach cramps, dehydration, loss of appetite, muscle aches, body aches, chills, joint pain",fever abdominal pain cramp stomach cramp dehydration loss appetite muscle ache body ache chill joint pain,9
Roseola,10,"high fever, rash, irritability, fatigue, sore throat, headache, cough, diarrhea, body aches",high fever rash irritability fatigue sore throat headache cough diarrhea body ache,9
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, low-grade fever, muscle aches, nausea, fatigue, abdominal pain, dehydration, sweating, body aches, general discomfort, fever, irritability",diarrhea vomiting stomach cramp low-grade fever muscle ache nausea fatigue abdominal pain dehydration sweating body ache general discomfort fever irritability,14
Roseola,10,"rash, fatigue, sore throat, cough, red eyes, body aches, rashes",rash fatigue sore throat cough red eye body ache rash,7
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, stomach cramps, fatigue, muscle aches, general discomfort, joint pain",fever diarrhea stomach cramp fatigue muscle ache general discomfort joint pain,7
Mumps,7,"pain while chewing or swallowing, muscle aches, tiredness, trouble chewing, testicle pain and tenderness",pain chewing swallowing muscle ache tiredness trouble chewing testicle pain tenderness,5
Roseola,10,"high fever, runny nose, rash, red eyes, diarrhea, vomiting, loss of appetite, abdominal pain, chills",high fever runny nose rash red eye diarrhea vomiting loss appetite abdominal pain chill,9
Shigellosis (Bacillary Dysentery),13,"fever, nausea, vomiting, bloody stools, stomach cramps, feverish, chills, joint pain",fever nausea vomiting bloody stool stomach cramp feverish chill joint pain,8
Roseola,10,"high fever, runny nose, rash, swollen lymph nodes, cough, vomiting, abdominal pain",high fever runny nose rash swollen lymph node cough vomiting abdominal pain,7
Roseola,10,"runny nose, swollen lymph nodes, headache, vomiting, body aches, feverish",runny nose swollen lymph node headache vomiting body ache feverish,6
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, nausea, bloody stools, stomach cramps, headache, fatigue, dehydration, feverish, rashes, general discomfort, chills, joint pain",fever abdominal pain cramp diarrhea nausea bloody stool stomach cramp headache fatigue dehydration feverish rash general discomfort chill joint pain,14
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, low-grade fever, muscle aches, nausea, headache, fatigue, abdominal pain, loss of appetite, sweating, body aches, rashes, general discomfort",diarrhea vomiting stomach cramp low-grade fever muscle ache nausea headache fatigue abdominal pain loss appetite sweating body ache rash general discomfort,14
Roseola,10,"high fever, rash, fatigue, sore throat, headache, cough, red eyes, rashes",high fever rash fatigue sore throat headache cough red eye rash,8
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, nausea, bloody stools, stomach cramps, headache, fatigue, dehydration, loss of appetite, muscle aches, body aches, feverish, rashes, general discomfort, joint pain",abdominal pain cramp diarrhea nausea bloody stool stomach cramp headache fatigue dehydration loss appetite muscle ache body ache feverish rash general discomfort joint pain,15
Norovirus Infection,8,"diarrhea, stomach cramps, fatigue, abdominal pain, loss of appetite, dehydration, sweating, body aches, general discomfort, fever, irritability",diarrhea stomach cramp fatigue abdominal pain loss appetite dehydration sweating body ache general discomfort fever irritability,11
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, stomach cramps, headache, fatigue, dehydration, feverish",fever abdominal pain cramp diarrhea stomach cramp headache fatigue dehydration feverish,8
Norovirus Infection,8,"low-grade fever, headache, abdominal pain, sweating, general discomfort, fever",low-grade fever headache abdominal pain sweating general discomfort fever,6
Roseola,10,"runny nose, irritability, fatigue, sore throat, headache, cough, loss of appetite, body aches, feverish",runny nose irritability fatigue sore throat headache cough loss appetite body ache feverish,9
Norovirus Infection,8,"muscle aches, headache, abdominal pain, loss of appetite, dehydration",muscle ache headache abdominal pain loss appetite dehydration,5
Norovirus Infection,8,"diarrhea, fatigue, chills, rashes, fever",diarrhea fatigue chill rash fever,5
Shigellosis (Bacillary Dysentery),13,"fever, nausea, vomiting, bloody stools, dehydration, body aches, feverish, joint pain",fever nausea vomiting bloody stool dehydration body ache feverish joint pain,8
Roseola,10,"runny nose, rash, irritability, swollen lymph nodes, diarrhea, loss of appetite, body aches, chills",runny nose rash irritability swollen lymph node diarrhea loss appetite body ache chill,8
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, vomiting, bloody stools, stomach cramps, headache, fatigue, joint pain",fever abdominal pain cramp diarrhea vomiting bloody stool stomach cramp headache fatigue joint pain,9
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, vomiting, stomach cramps, loss of appetite, muscle aches, body aches, chills",fever diarrhea vomiting stomach cramp loss appetite muscle ache body ache chill,8
Pertussis (Whooping Cough),9,"whooping cough, fever, sore watery eyes, cyanosis, sneezing, low-grade fever",whooping cough fever sore watery eye cyanosis sneezing low-grade fever,6
Norovirus Infection,8,"stomach cramps, fatigue, dehydration, chills, sweating, general discomfort",stomach cramp fatigue dehydration chill sweating general discomfort,6
Norovirus Infection,8,"diarrhea, stomach cramps, muscle aches, headache, fatigue, abdominal pain, loss of appetite, dehydration, sweating, rashes, general discomfort, fever",diarrhea stomach cramp muscle ache headache fatigue abdominal pain loss appetite dehydration sweating rash general discomfort fever,12
"Hand, Foot, and Mouth Disease",3,"fever, loss of appetite, mouth sores, red spots, blisters, fatigue, sore muscles, general discomfort, mild fever, difficulty swallowing",fever loss appetite mouth sore red spot blister fatigue sore muscle general discomfort mild fever difficulty swallowing,10
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, bloody stools, headache, fatigue, muscle aches, body aches, rashes, general discomfort",fever abdominal pain cramp diarrhea bloody stool headache fatigue muscle ache body ache rash general discomfort,10
Roseola,10,"high fever, runny nose, irritability, fatigue, swollen lymph nodes, sore throat, headache, cough, vomiting, loss of appetite, body aches, rashes",high fever runny nose irritability fatigue swollen lymph node sore throat headache cough vomiting loss appetite body ache rash,12
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, vomiting, bloody stools, fatigue, dehydration, muscle aches, chills, joint pain",fever abdominal pain cramp vomiting bloody stool fatigue dehydration muscle ache chill joint pain,9
Roseola,10,"high fever, irritability, fatigue, swollen lymph nodes, cough, chills",high fever irritability fatigue swollen lymph node cough chill,6
"Hand, Foot, and Mouth Disease",3,"fever, sores in mouth, loss of appetite, red spots, fatigue, sore muscles",fever sore mouth loss appetite red spot fatigue sore muscle,6
Norovirus Infection,8,"diarrhea, stomach cramps, low-grade fever, muscle aches, abdominal pain, loss of appetite, dehydration, chills, body aches, rashes, fever",diarrhea stomach cramp low-grade fever muscle ache abdominal pain loss appetite dehydration chill body ache rash fever,11
Roseola,10,"high fever, runny nose, rash, swollen lymph nodes, sore throat, headache, diarrhea, abdominal pain, chills",high fever runny nose rash swollen lymph node sore throat headache diarrhea abdominal pain chill,9
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, stomach cramps, headache, fatigue, dehydration, general discomfort, joint pain",diarrhea nausea stomach cramp headache fatigue dehydration general discomfort joint pain,8
Roseola,10,"high fever, runny nose, rash, irritability, headache, cough, vomiting, loss of appetite, abdominal pain, rashes, chills",high fever runny nose rash irritability headache cough vomiting loss appetite abdominal pain rash chill,11
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, vomiting, headache, feverish",fever abdominal pain cramp vomiting headache feverish,5
Roseola,10,"irritability, swollen lymph nodes, cough, diarrhea, vomiting, chills, feverish",irritability swollen lymph node cough diarrhea vomiting chill feverish,7
Norovirus Infection,8,"headache, fatigue, abdominal pain, dehydration, chills, body aches, general discomfort, fever",headache fatigue abdominal pain dehydration chill body ache general discomfort fever,8
Shigellosis (Bacillary Dysentery),13,"nausea, bloody stools, loss of appetite, muscle aches, body aches, rashes, general discomfort, joint pain",nausea bloody stool loss appetite muscle ache body ache rash general discomfort joint pain,8
Roseola,10,"irritability, cough, diarrhea, abdominal pain, body aches, feverish",irritability cough diarrhea abdominal pain body ache feverish,6
Roseola,10,"rash, irritability, headache, cough, red eyes, loss of appetite, body aches, feverish",rash irritability headache cough red eye loss appetite body ache feverish,8
Shigellosis (Bacillary Dysentery),13,"vomiting, headache, dehydration, muscle aches, body aches, general discomfort, chills",vomiting headache dehydration muscle ache body ache general discomfort chill,7
Roseola,10,"high fever, rash, irritability, fatigue, sore throat, headache, cough, rashes",high fever rash irritability fatigue sore throat headache cough rash,8
Shigellosis (Bacillary Dysentery),13,"fever, nausea, vomiting, stomach cramps, headache, fatigue, dehydration, muscle aches, feverish, rashes, joint pain",fever nausea vomiting stomach cramp headache fatigue dehydration muscle ache feverish rash joint pain,11
Norovirus Infection,8,"diarrhea, vomiting, low-grade fever, muscle aches, nausea, fatigue, abdominal pain, loss of appetite, dehydration, chills, sweating, rashes, fever",diarrhea vomiting low-grade fever muscle ache nausea fatigue abdominal pain loss appetite dehydration chill sweating rash fever,13
Roseola,10,"fatigue, cough, red eyes, diarrhea, loss of appetite, chills, feverish",fatigue cough red eye diarrhea loss appetite chill feverish,7
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, vomiting, dehydration, feverish, rashes, general discomfort, chills, joint pain",diarrhea nausea vomiting dehydration feverish rash general discomfort chill joint pain,9
Norovirus Infection,8,"vomiting, low-grade fever, muscle aches, nausea, abdominal pain, dehydration, chills, sweating, body aches, rashes, general discomfort, fever, irritability",vomiting low-grade fever muscle ache nausea abdominal pain dehydration chill sweating body ache rash general discomfort fever irritability,13
Norovirus Infection,8,"diarrhea, muscle aches, fatigue, abdominal pain, dehydration, chills, sweating, body aches, rashes, general discomfort, fever",diarrhea muscle ache fatigue abdominal pain dehydration chill sweating body ache rash general discomfort fever,11
Shigellosis (Bacillary Dysentery),13,"fever, nausea, bloody stools, fatigue, dehydration, loss of appetite, muscle aches, body aches, feverish, chills, joint pain",fever nausea bloody stool fatigue dehydration loss appetite muscle ache body ache feverish chill joint pain,11
Norovirus Infection,8,"low-grade fever, headache, fatigue, dehydration, body aches, fever",low-grade fever headache fatigue dehydration body ache fever,6
Norovirus Infection,8,"diarrhea, nausea, headache, abdominal pain, loss of appetite, dehydration, general discomfort",diarrhea nausea headache abdominal pain loss appetite dehydration general discomfort,7
"Hand, Foot, and Mouth Disease",3,"irritability, cough, headache, general discomfort, mild fever",irritability cough headache general discomfort mild fever,5
Strep Throat,14,"sore throat, fever, swollen lymph nodes, nausea, abdominal pain, body aches",sore throat fever swollen lymph node nausea abdominal pain body ache,6
Roseola,10,"high fever, rash, irritability, sore throat, cough, diarrhea, rashes, feverish",high fever rash irritability sore throat cough diarrhea rash feverish,8
Fifth Disease (Erythema Infectiosum),2,"swollen joints, malaise, myalgias, diarrhea",swollen joint malaise myalgia diarrhea,4
Roseola,10,"high fever, swollen lymph nodes, sore throat, headache, cough, red eyes, vomiting, feverish",high fever swollen lymph node sore throat headache cough red eye vomiting feverish,8
"Hand, Foot, and Mouth Disease",3,"fever, rash on hands and feet, sore throat, blisters, fatigue, cough, sore muscles, general discomfort, mild fever",fever rash hand foot sore throat blister fatigue cough sore muscle general discomfort mild fever,9
Roseola,10,"high fever, sore throat, cough, body aches, rashes, chills, feverish",high fever sore throat cough body ache rash chill feverish,7
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, nausea, bloody stools, dehydration, body aches, rashes, chills",abdominal pain cramp diarrhea nausea bloody stool dehydration body ache rash chill,8
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, vomiting, stomach cramps, muscle aches, body aches, feverish, rashes, general discomfort",fever abdominal pain cramp diarrhea vomiting stomach cramp muscle ache body ache feverish rash general discomfort,10
Norovirus Infection,8,"diarrhea, vomiting, low-grade fever, muscle aches, headache, dehydration, chills, body aches, general discomfort, fever, irritability",diarrhea vomiting low-grade fever muscle ache headache dehydration chill body ache general discomfort fever irritability,11
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, muscle aches, headache, fatigue, abdominal pain, dehydration, body aches, rashes, general discomfort, fever",diarrhea vomiting stomach cramp muscle ache headache fatigue abdominal pain dehydration body ache rash general discomfort fever,12
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, nausea, vomiting, bloody stools, stomach cramps, fatigue, dehydration, muscle aches, general discomfort, chills, joint pain",fever diarrhea nausea vomiting bloody stool stomach cramp fatigue dehydration muscle ache general discomfort chill joint pain,12
Roseola,10,"runny nose, fatigue, sore throat, vomiting, rashes, chills",runny nose fatigue sore throat vomiting rash chill,6
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, headache, fatigue, dehydration, loss of appetite, body aches, general discomfort, chills, joint pain",fever abdominal pain cramp diarrhea headache fatigue dehydration loss appetite body ache general discomfort chill joint pain,11
"Hand, Foot, and Mouth Disease",3,"fever, sores in mouth, rash on hands and feet, loss of appetite, sore throat, red spots, blisters, fatigue, cough, sore muscles, general discomfort, mild fever",fever sore mouth rash hand foot loss appetite sore throat red spot blister fatigue cough sore muscle general discomfort mild fever,12
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, nausea, bloody stools, loss of appetite, body aches, chills",fever abdominal pain cramp diarrhea nausea bloody stool loss appetite body ache chill,8
Roseola,10,"rash, headache, cough, diarrhea, body aches",rash headache cough diarrhea body ache,5
Norovirus Infection,8,"vomiting, stomach cramps, fatigue, abdominal pain, chills, sweating, rashes, general discomfort, fever, irritability",vomiting stomach cramp fatigue abdominal pain chill sweating rash general discomfort fever irritability,10
Shigellosis (Bacillary Dysentery),13,"diarrhea, vomiting, bloody stools, headache, loss of appetite, muscle aches, body aches, general discomfort, chills, joint pain",diarrhea vomiting bloody stool headache loss appetite muscle ache body ache general discomfort chill joint pain,10
"Hand, Foot, and Mouth Disease",3,"rash on hands and feet, irritability, sore throat, mouth sores, sore muscles, difficulty swallowing",rash hand foot irritability sore throat mouth sore sore muscle difficulty swallowing,6
Roseola,10,"rash, irritability, headache, red eyes, diarrhea, vomiting, rashes, chills, feverish",rash irritability headache red eye diarrhea vomiting rash chill feverish,9
Norovirus Infection,8,"low-grade fever, fatigue, loss of appetite, dehydration, chills, sweating, general discomfort, irritability",low-grade fever fatigue loss appetite dehydration chill sweating general discomfort irritability,8
Norovirus Infection,8,"vomiting, abdominal pain, loss of appetite, dehydration, chills, body aches, rashes, general discomfort, irritability",vomiting abdominal pain loss appetite dehydration chill body ache rash general discomfort irritability,9
Roseola,10,"high fever, runny nose, irritability, cough, red eyes, diarrhea, vomiting, abdominal pain, body aches, rashes, chills",high fever runny nose irritability cough red eye diarrhea vomiting abdominal pain body ache rash chill,11
Scarlet Fever,12,"swollen glands, red rash on the body, strawberry tongue, pale skin around lips, fever, difficulty swallowing, tender enlarged neck glands, nausea or vomiting, abdominal pain",swollen gland red rash body strawberry tongue pale skin around lip fever difficulty swallowing tender enlarged neck gland nausea vomiting abdominal pain,9
Roseola,10,"high fever, irritability, fatigue, cough, vomiting, body aches, feverish",high fever irritability fatigue cough vomiting body ache feverish,7
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, bloody stools, stomach cramps, headache, fatigue, muscle aches, rashes, general discomfort",abdominal pain cramp bloody stool stomach cramp headache fatigue muscle ache rash general discomfort,8
Fifth Disease (Erythema Infectiosum),2,"rash on face, sore throat, runny or stuffy nose, mild fever, headache, fever, malaise, diarrhea, vomiting",rash face sore throat runny stuffy nose mild fever headache fever malaise diarrhea vomiting,9
Pertussis (Whooping Cough),9,"sneezing, fever, sore watery eyes, cyanosis, severe coughing fits, vomiting after coughing, fatigue",sneezing fever sore watery eye cyanosis severe coughing fit vomiting coughing fatigue,7
Shigellosis (Bacillary Dysentery),13,"fever, stomach cramps, headache, dehydration, loss of appetite, muscle aches, body aches, rashes, chills, joint pain",fever stomach cramp headache dehydration loss appetite muscle ache body ache rash chill joint pain,10
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, nausea, vomiting, bloody stools, fatigue, loss of appetite, muscle aches, body aches, feverish, rashes",fever diarrhea nausea vomiting bloody stool fatigue loss appetite muscle ache body ache feverish rash,11
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, vomiting, bloody stools, stomach cramps, headache, dehydration, body aches, general discomfort, chills",abdominal pain cramp diarrhea vomiting bloody stool stomach cramp headache dehydration body ache general discomfort chill,10
"Hand, Foot, and Mouth Disease",3,"fever, sores in mouth, rash on hands and feet, loss of appetite, mouth sores, blisters, fatigue, cough, general discomfort, difficulty swallowing",fever sore mouth rash hand foot loss appetite mouth sore blister fatigue cough general discomfort difficulty swallowing,10
Strep Throat,14,"fever, white patches on tonsils, headache, abdominal pain, rash, body aches",fever white patch tonsil headache abdominal pain rash body ache,6
Norovirus Infection,8,"diarrhea, vomiting, low-grade fever, headache, fatigue, dehydration, chills, sweating, body aches, rashes, general discomfort, fever",diarrhea vomiting low-grade fever headache fatigue dehydration chill sweating body ache rash general discomfort fever,12
"Hand, Foot, and Mouth Disease",3,"loss of appetite, irritability, sore throat, blisters, cough, mild fever, difficulty swallowing",loss appetite irritability sore throat blister cough mild fever difficulty swallowing,7
Roseola,10,"rash, fatigue, swollen lymph nodes, sore throat, headache, diarrhea, loss of appetite, rashes, feverish",rash fatigue swollen lymph node sore throat headache diarrhea loss appetite rash feverish,9
Roseola,10,"high fever, runny nose, swollen lymph nodes, cough, loss of appetite, abdominal pain, body aches, rashes, feverish",high fever runny nose swollen lymph node cough loss appetite abdominal pain body ache rash feverish,9
Norovirus Infection,8,"stomach cramps, nausea, loss of appetite, dehydration, chills, body aches, rashes, irritability",stomach cramp nausea loss appetite dehydration chill body ache rash irritability,8
Shigellosis (Bacillary Dysentery),13,"diarrhea, fatigue, loss of appetite, muscle aches, body aches, rashes",diarrhea fatigue loss appetite muscle ache body ache rash,6
Roseola,10,"high fever, runny nose, rash, irritability, cough, vomiting, rashes, chills",high fever runny nose rash irritability cough vomiting rash chill,8
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, headache, dehydration, muscle aches, rashes, general discomfort",abdominal pain cramp headache dehydration muscle ache rash general discomfort,6
Scarlet Fever,12,"sore throat, red lines in body folds, red rash on the body, strawberry tongue, pale skin around lips, fever, sore and red throat with patches, difficulty swallowing, nausea or vomiting, abdominal pain, headache and body aches",sore throat red line body fold red rash body strawberry tongue pale skin around lip fever sore red throat patch difficulty swallowing nausea vomiting abdominal pain headache body ache,11
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, low-grade fever, muscle aches, abdominal pain, dehydration, chills, fever",diarrhea vomiting stomach cramp low-grade fever muscle ache abdominal pain dehydration chill fever,9
Roseola,10,"high fever, irritability, swollen lymph nodes, sore throat, cough, vomiting, loss of appetite, abdominal pain, chills, feverish",high fever irritability swollen lymph node sore throat cough vomiting loss appetite abdominal pain chill feverish,10
Roseola,10,"high fever, runny nose, rash, irritability, fatigue, swollen lymph nodes, cough, loss of appetite, abdominal pain, body aches, chills",high fever runny nose rash irritability fatigue swollen lymph node cough loss appetite abdominal pain body ache chill,11
Norovirus Infection,8,"stomach cramps, low-grade fever, muscle aches, nausea, headache, abdominal pain, loss of appetite, chills, sweating, general discomfort, fever",stomach cramp low-grade fever muscle ache nausea headache abdominal pain loss appetite chill sweating general discomfort fever,11
"Hand, Foot, and Mouth Disease",3,"fever, mouth sores, blisters, cough, sore muscles, mild fever, difficulty swallowing",fever mouth sore blister cough sore muscle mild fever difficulty swallowing,7
Roseola,10,"runny nose, fatigue, headache, red eyes, vomiting, abdominal pain, rashes",runny nose fatigue headache red eye vomiting abdominal pain rash,7
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, bloody stools, headache, fatigue, dehydration, general discomfort, chills, joint pain",fever diarrhea bloody stool headache fatigue dehydration general discomfort chill joint pain,9
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, muscle aches, nausea, abdominal pain, body aches",diarrhea vomiting stomach cramp muscle ache nausea abdominal pain body ache,7
Shigellosis (Bacillary Dysentery),13,"fever, vomiting, bloody stools, stomach cramps, fatigue, loss of appetite, body aches, rashes, chills",fever vomiting bloody stool stomach cramp fatigue loss appetite body ache rash chill,9
Norovirus Infection,8,"vomiting, muscle aches, nausea, headache, dehydration, sweating, body aches, general discomfort, irritability",vomiting muscle ache nausea headache dehydration sweating body ache general discomfort irritability,9
Mumps,7,"headache, pain while chewing or swallowing, fever, tiredness, loss of appetite",headache pain chewing swallowing fever tiredness loss appetite,5
Shigellosis (Bacillary Dysentery),13,"diarrhea, stomach cramps, fatigue, loss of appetite, muscle aches, rashes, joint pain",diarrhea stomach cramp fatigue loss appetite muscle ache rash joint pain,7
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, vomiting, dehydration, body aches, rashes, chills",fever abdominal pain cramp vomiting dehydration body ache rash chill,7
Roseola,10,"rash, irritability, fatigue, sore throat, cough, diarrhea, body aches, rashes, chills, feverish",rash irritability fatigue sore throat cough diarrhea body ache rash chill feverish,10
"Hand, Foot, and Mouth Disease",3,"sores in mouth, loss of appetite, sore throat, red spots, fatigue, general discomfort",sore mouth loss appetite sore throat red spot fatigue general discomfort,6
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, nausea, vomiting, bloody stools, stomach cramps, headache, dehydration, body aches, feverish, rashes, chills, joint pain",fever abdominal pain cramp diarrhea nausea vomiting bloody stool stomach cramp headache dehydration body ache feverish rash chill joint pain,14
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, nausea, bloody stools, fatigue, dehydration, muscle aches, body aches, rashes, general discomfort, joint pain",fever abdominal pain cramp diarrhea nausea bloody stool fatigue dehydration muscle ache body ache rash general discomfort joint pain,12
Shigellosis (Bacillary Dysentery),13,"stomach cramps, headache, loss of appetite, general discomfort, joint pain",stomach cramp headache loss appetite general discomfort joint pain,5
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, vomiting, bloody stools, stomach cramps, fatigue, dehydration, loss of appetite, muscle aches, body aches, general discomfort, chills, joint pain",diarrhea nausea vomiting bloody stool stomach cramp fatigue dehydration loss appetite muscle ache body ache general discomfort chill joint pain,13
Norovirus Infection,8,"vomiting, muscle aches, nausea, fatigue, dehydration, sweating, fever, irritability",vomiting muscle ache nausea fatigue dehydration sweating fever irritability,8
Norovirus Infection,8,"diarrhea, muscle aches, nausea, abdominal pain, loss of appetite, chills, sweating, body aches",diarrhea muscle ache nausea abdominal pain loss appetite chill sweating body ache,8
Norovirus Infection,8,"diarrhea, vomiting, headache, abdominal pain, loss of appetite, body aches, rashes, fever, irritability",diarrhea vomiting headache abdominal pain loss appetite body ache rash fever irritability,9
Pertussis (Whooping Cough),9,"sneezing, nasal discharge, fever, cyanosis, exhaustion, vomiting after coughing, fatigue",sneezing nasal discharge fever cyanosis exhaustion vomiting coughing fatigue,7
Roseola,10,"high fever, rash, fatigue, headache, cough, diarrhea, vomiting, loss of appetite, rashes, chills, feverish",high fever rash fatigue headache cough diarrhea vomiting loss appetite rash chill feverish,11
Norovirus Infection,8,"diarrhea, vomiting, low-grade fever, muscle aches, nausea, fatigue, dehydration, chills, body aches, rashes, fever",diarrhea vomiting low-grade fever muscle ache nausea fatigue dehydration chill body ache rash fever,11
Roseola,10,"rash, irritability, fatigue, cough, red eyes, diarrhea, body aches, rashes, chills, feverish",rash irritability fatigue cough red eye diarrhea body ache rash chill feverish,10
Roseola,10,"high fever, rash, headache, cough, loss of appetite, abdominal pain, body aches, chills, feverish",high fever rash headache cough loss appetite abdominal pain body ache chill feverish,9
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, low-grade fever, nausea, abdominal pain, chills, sweating, body aches, fever",diarrhea vomiting stomach cramp low-grade fever nausea abdominal pain chill sweating body ache fever,10
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, bloody stools, stomach cramps, headache, fatigue, dehydration, body aches, rashes, chills, joint pain",fever abdominal pain cramp bloody stool stomach cramp headache fatigue dehydration body ache rash chill joint pain,11
Roseola,10,"runny nose, swollen lymph nodes, headache, vomiting, loss of appetite, body aches, rashes, chills",runny nose swollen lymph node headache vomiting loss appetite body ache rash chill,8
"Hand, Foot, and Mouth Disease",3,"fever, sores in mouth, rash on hands and feet, irritability, sore throat, blisters, fatigue, cough, headache, general discomfort",fever sore mouth rash hand foot irritability sore throat blister fatigue cough headache general discomfort,10
Norovirus Infection,8,"diarrhea, muscle aches, nausea, headache, fatigue, dehydration, sweating, body aches, general discomfort",diarrhea muscle ache nausea headache fatigue dehydration sweating body ache general discomfort,9
Norovirus Infection,8,"stomach cramps, muscle aches, headache, sweating, body aches, general discomfort, fever, irritability",stomach cramp muscle ache headache sweating body ache general discomfort fever irritability,8
Shigellosis (Bacillary Dysentery),13,"nausea, stomach cramps, headache, fatigue, dehydration, body aches, feverish, joint pain",nausea stomach cramp headache fatigue dehydration body ache feverish joint pain,8
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, muscle aches, nausea, headache, fatigue, chills, sweating, rashes, general discomfort, irritability",diarrhea vomiting stomach cramp muscle ache nausea headache fatigue chill sweating rash general discomfort irritability,12
"Hand, Foot, and Mouth Disease",3,"fever, sores in mouth, loss of appetite, irritability, blisters, cough, headache, difficulty swallowing",fever sore mouth loss appetite irritability blister cough headache difficulty swallowing,8
Roseola,10,"rash, swollen lymph nodes, headache, red eyes, loss of appetite",rash swollen lymph node headache red eye loss appetite,5
