drug_name,drug_name_clean,medical_condition,medical_condition_clean,generic_name,drug_classes,input_text,input_text_clean,side_effects_clean,side_effects_count
clobetasol,clobetasol,Eczema,eczema,clobetasol topical,Topical steroids,clobetasol eczema clobetasol topical topical steroids,clobetasol eczema clobetasol topical topical steroid,"burning, itching, swelling, irritation of treated skin, dry, cracking skin, redness, crusting around your hair follicles, spider veins, stretch marks, thinning skin, rash, hives, acne, temporary hair loss",15
dupilumab,dupilumab,Eczema,eczema,dupilumab Brand name: Dupixent,Interleukin inhibitors,dupilumab eczema dupilumab brand name: dupixent interleukin inhibitors,dupilumab eczema dupilumab brand name dupixent interleukin inhibitor,"injection site reactions eye and eyelid inflammation, including redness, swelling, and itching, that does not go away",5
Elidel,elidel,Eczema,eczema,pimecrolimus topical,Miscellaneous topical agents,elidel eczema pimecrolimus topical miscellaneous topical agents,elidel eczema pimecrolimus topical miscellaneous topical agent,"burning, stinging, soreness of treated skin, viral skin infection, runny, stuffy nose, headache, fever, chills, body aches, sore throat, cough, swollen glands",13
fluocinonide,fluocinonide,Eczema,eczema,fluocinonide topical,Topical steroids,fluocinonide eczema fluocinonide topical topical steroids,fluocinonide eczema fluocinonide topical topical steroid,"burning, stinging, itching, dryness of treated skin, redness, crusting around your hair follicles, stretch marks, spider veins, acne, lightened color of treated skin, headache, stuffy nose, sore throat",13
desonide,desonide,Eczema,eczema,desonide topical,Topical steroids,desonide eczema desonide topical topical steroids,desonide eczema desonide topical topical steroid,"nausea, diarrhea, itching, dry mouth, weight gain, swelling, blurred vision",7
Elocon,elocon,Eczema,eczema,mometasone topical,Topical steroids,elocon eczema mometasone topical topical steroids,elocon eczema mometasone topical topical steroid,"red, pus-filled bumps on your skin, acne, mild itching, tingling, burning",6
desoximetasone,desoximetasone,Eczema,eczema,desoximetasone topical,Topical steroids,desoximetasone eczema desoximetasone topical topical steroids,desoximetasone eczema desoximetasone topical topical steroid,"nausea, diarrhea, rash, itching, dry mouth, weight gain, swelling, blurred vision",8
pimecrolimus,pimecrolimus,Eczema,eczema,pimecrolimus topical,Miscellaneous topical agents,pimecrolimus eczema pimecrolimus topical miscellaneous topical agents,pimecrolimus eczema pimecrolimus topical miscellaneous topical agent,"headache, rash, itching, fever, cough, swelling",6
Cortizone-10,cortizone-10,Eczema,eczema,hydrocortisone (topical application route),Topical steroids,cortizone-10 eczema hydrocortisone (topical application route) topical steroids,cortizone-10 eczema hydrocortisone topical steroid,"itching, swelling, bruising",3
halobetasol,halobetasol,Eczema,eczema,halobetasol topical,Topical steroids,halobetasol eczema halobetasol topical topical steroids,halobetasol eczema halobetasol topical topical steroid,"burning, stinging, itching, dryness of treated skin, pain where the foam was applied, redness, crusting around your hair follicles, stretch marks, spider veins, headache, cold symptoms such as stuffy nose, sneezing, sore throat",13
Kenalog,kenalog,Eczema,eczema,triamcinolone topical,Topical steroids,kenalog eczema triamcinolone topical topical steroids,kenalog eczema triamcinolone topical topical steroid,"itching, insomnia, weight gain, swelling, blurred vision",5
Topicort,topicort,Eczema,eczema,desoximetasone topical,Topical steroids,topicort eczema desoximetasone topical topical steroids,topicort eczema desoximetasone topical topical steroid,"rash, itching, irritation around your mouth, burning, irritation, dryness of treated skin, redness, crusting around your hair follicles, increased hair growth, blisters, pimples, crusting of treated skin, changes in color of treated skin, white, pruned appearance of the skin, stretch marks",16
fluocinolone,fluocinolone,Eczema,eczema,fluocinolone topical,Topical steroids,fluocinolone eczema fluocinolone topical topical steroids,fluocinolone eczema fluocinolone topical topical steroid,"burning, itching, irritation of treated skin, increased hair growth, white, pruned appearance of the skin, rash, pimples, changes in color of treated skin",9
fluticasone,fluticasone,Eczema,eczema,fluticasone topical,Topical steroids,fluticasone eczema fluticasone topical topical steroids,fluticasone eczema fluticasone topical topical steroid,"nausea, diarrhea, rash, itching, weight gain, swelling, blurred vision",7
alclometasone,alclometasone,Eczema,eczema,alclometasone topical,Topical steroids,alclometasone eczema alclometasone topical topical steroids,alclometasone eczema alclometasone topical topical steroid,"rash, itching, insomnia, weight gain, swelling, skin rash, blurred vision",7
azathioprine,azathioprine,Eczema,eczema,azathioprine,"Antirheumatics, Other immunosuppressants","azathioprine eczema azathioprine antirheumatics, other immunosuppressants",azathioprine eczema azathioprine antirheumatics immunosuppressant,"nausea, diarrhea, stomach pain, hair loss, skin rash",5
Cloderm,cloderm,Eczema,eczema,clocortolone topical,Topical steroids,cloderm eczema clocortolone topical topical steroids,cloderm eczema clocortolone topical topical steroid,"burning, itching, dryness of treated skin, redness, crusting around your hair follicles, increased hair growth, acne, skin rash, stretch marks, thinning skin, lightened color of treated skin, white, pruned appearance of the skin",13
Cutivate,cutivate,Eczema,eczema,fluticasone topical,Topical steroids,cutivate eczema fluticasone topical topical steroids,cutivate eczema fluticasone topical topical steroid,"skin redness, itching, rash, burning, stinging of treated skin, increased hair growth, feeling light-headed",7
cyclosporine,cyclosporine,Eczema,eczema,cyclosporine (oral/injection),Calcineurin inhibitors,cyclosporine eczema cyclosporine (oral/injection) calcineurin inhibitors,cyclosporine eczema cyclosporine calcineurin inhibitor,"tremors, shaking, acne, increased growth of facial, body hair, increased blood pressure, nausea, diarrhea, swollen, painful gums",10
DermOtic Oil,dermotic oil,Eczema,eczema,fluocinolone otic,Otic steroids,dermotic oil eczema fluocinolone otic otic steroids,dermotic oil eczema fluocinolone otic otic steroid,"rash, itching, weight gain, swelling",4
Locoid Lipocream,locoid lipocream,Eczema,eczema,hydrocortisone (topical application route),Topical steroids,locoid lipocream eczema hydrocortisone (topical application route) topical steroids,locoid lipocream eczema hydrocortisone topical steroid,"itching, swelling, bruising",3
Aristocort A,aristocort a,Eczema,eczema,triamcinolone (topical application route),Topical steroids,aristocort a eczema triamcinolone (topical application route) topical steroids,aristocort eczema triamcinolone topical steroid,"itching, swelling, bruising",3
Aristocort R,aristocort r,Eczema,eczema,triamcinolone (topical application route),Topical steroids,aristocort r eczema triamcinolone (topical application route) topical steroids,aristocort eczema triamcinolone topical steroid,"itching, swelling, bruising",3
Beser,beser,Eczema,eczema,fluticasone topical,Topical steroids,beser eczema fluticasone topical topical steroids,beser eczema fluticasone topical topical steroid,"skin redness, itching, rash, burning, stinging of treated skin, increased hair growth, feeling light-headed",7
Beta HC,beta hc,Eczema,eczema,hydrocortisone topical,Topical steroids,beta hc eczema hydrocortisone topical topical steroids,beta hc eczema hydrocortisone topical topical steroid,"nausea, diarrhea, dry mouth, weight gain, swelling",5
Cinolar,cinolar,Eczema,eczema,triamcinolone (topical application route),Topical steroids,cinolar eczema triamcinolone (topical application route) topical steroids,cinolar eczema triamcinolone topical steroid,"itching, swelling, bruising",3
Cordran Tape,cordran tape,Eczema,eczema,flurandrenolide topical,Topical steroids,cordran tape eczema flurandrenolide topical topical steroids,cordran tape eczema flurandrenolide topical topical steroid,"nausea, diarrhea, rash, itching, dry mouth, weight gain, swelling",7
Dermasorb TA,dermasorb ta,Eczema,eczema,triamcinolone topical,Topical steroids,dermasorb ta eczema triamcinolone topical topical steroids,dermasorb ta eczema triamcinolone topical topical steroid,"nausea, diarrhea, headache, itching, dry mouth, weight gain, swelling, blurred vision",8
DesOwen,desowen,Eczema,eczema,desonide topical,Topical steroids,desowen eczema desonide topical topical steroids,desowen eczema desonide topical topical steroid,"stinging, burning of treated skin, skin irritation, redness, itching, hardening, dry, scaly, oily skin, swelling in your hands, feet, acne, stretch marks, crusting around your hair follicles",14
flurandrenolide,flurandrenolide,Eczema,eczema,flurandrenolide topical,Topical steroids,flurandrenolide eczema flurandrenolide topical topical steroids,flurandrenolide eczema flurandrenolide topical topical steroid,"nausea, diarrhea, rash, itching, dry mouth, weight gain, swelling",7
Halog,halog,Eczema,eczema,halcinonide topical,Topical steroids,halog eczema halcinonide topical topical steroids,halog eczema halcinonide topical topical steroid,"burning, itching, irritation of treated skin, increased hair growth, white, pruned appearance of the skin, rash, pimples, changes in color of treated skin",9
Locoid,locoid,Eczema,eczema,hydrocortisone topical,Topical steroids,locoid eczema hydrocortisone topical topical steroids,locoid eczema hydrocortisone topical topical steroid,"nausea, diarrhea, dry mouth, weight gain, swelling",5
Oralone,oralone,Eczema,eczema,triamcinolone topical,Topical steroids,oralone eczema triamcinolone topical topical steroids,oralone eczema triamcinolone topical topical steroid,"burning, itching, dryness, other irritation of treated skin, redness, crusting around your hair follicles, itching around your mouth, allergic skin reaction, stretch marks, acne, increased body hair growth, thinning skin, discoloration, white, other covering",15
Trianex,trianex,Eczema,eczema,triamcinolone topical,Topical steroids,trianex eczema triamcinolone topical topical steroids,trianex eczema triamcinolone topical topical steroid,"burning, itching, dryness, other irritation of treated skin, redness, crusting around your hair follicles, itching around your mouth, allergic skin reaction, stretch marks, acne, increased body hair growth, thinning skin, discoloration, white, other covering",15
Triderm,triderm,Eczema,eczema,triamcinolone topical,Topical steroids,triderm eczema triamcinolone topical topical steroids,triderm eczema triamcinolone topical topical steroid,"burning, itching, dryness, other irritation of treated skin, redness, crusting around your hair follicles, itching around your mouth, allergic skin reaction, stretch marks, acne, increased body hair growth, thinning skin, discoloration, white, other covering",15
Ultravate,ultravate,Eczema,eczema,halobetasol topical,Topical steroids,ultravate eczema halobetasol topical topical steroids,ultravate eczema halobetasol topical topical steroid,"burning, stinging, itching, dryness of treated skin, pain where the foam was applied, redness, crusting around your hair follicles, stretch marks, spider veins, headache, cold symptoms such as stuffy nose, sneezing, sore throat",13
Ala-Cort,ala-cort,Eczema,eczema,hydrocortisone topical,Topical steroids,ala-cort eczema hydrocortisone topical topical steroids,ala-cort eczema hydrocortisone topical topical steroid,"nausea, diarrhea, dry mouth, weight gain, swelling",5
Ala-Scalp HP,ala-scalp hp,Eczema,eczema,hydrocortisone (topical application route),Topical steroids,ala-scalp hp eczema hydrocortisone (topical application route) topical steroids,ala-scalp hp eczema hydrocortisone topical steroid,"itching, swelling, bruising",3
amcinonide,amcinonide,Eczema,eczema,amcinonide topical,Topical steroids,amcinonide eczema amcinonide topical topical steroids,amcinonide eczema amcinonide topical topical steroid,"nausea, diarrhea, headache, itching, dry mouth, weight gain, swelling",7
ApexiCon E,apexicon e,Eczema,eczema,diflorasone topical,Topical steroids,apexicon e eczema diflorasone topical topical steroids,apexicon eczema diflorasone topical topical steroid,"rash, itching, weight gain, swelling, skin rash, blurred vision",6
Aquanil HC,aquanil hc,Eczema,eczema,hydrocortisone topical,Topical steroids,aquanil hc eczema hydrocortisone topical topical steroids,aquanil hc eczema hydrocortisone topical topical steroid,"nausea, diarrhea, dry mouth, weight gain, swelling",5
Caldecort,caldecort,Eczema,eczema,hydrocortisone (topical application route),Topical steroids,caldecort eczema hydrocortisone (topical application route) topical steroids,caldecort eczema hydrocortisone topical steroid,"itching, swelling, bruising",3
clioquinol / hydrocortisone,clioquinol / hydrocortisone,Eczema,eczema,,,clioquinol / hydrocortisone eczema,clioquinol hydrocortisone eczema,"nausea, vomiting, diarrhea, dizziness, rash, itching, fever, joint pain, swelling, bruising, depression",11
Clobex,clobex,Eczema,eczema,clobetasol topical,Topical steroids,clobex eczema clobetasol topical topical steroids,clobex eczema clobetasol topical topical steroid,"burning, itching, swelling, irritation of treated skin, dry, cracking skin, redness, crusting around your hair follicles, spider veins, stretch marks, thinning skin, rash, hives, acne, temporary hair loss",15
clocortolone,clocortolone,Eczema,eczema,clocortolone topical,Topical steroids,clocortolone eczema clocortolone topical topical steroids,clocortolone eczema clocortolone topical topical steroid,"nausea, diarrhea, rash, itching, dry mouth, weight gain, swelling, skin rash",8
Cordran,cordran,Eczema,eczema,flurandrenolide topical,Topical steroids,cordran eczema flurandrenolide topical topical steroids,cordran eczema flurandrenolide topical topical steroid,"burning, itching, irritation of treated skin, increased hair growth, white, pruned appearance of the skin, rash, pimples, changes in color of treated skin",9
Cortizone-5,cortizone-5,Eczema,eczema,hydrocortisone topical,Topical steroids,cortizone-5 eczema hydrocortisone topical topical steroids,cortizone-5 eczema hydrocortisone topical topical steroid,"nausea, diarrhea, dry mouth, weight gain, swelling",5
Derma-Smoothe / FS (Scalp),derma-smoothe / fs (scalp),Eczema,eczema,fluocinolone topical oil,Topical steroids,derma-smoothe / fs (scalp) eczema fluocinolone topical oil topical steroids,derma-smoothe f eczema fluocinolone topical oil topical steroid,"headache, rash, itching, weight gain, fever, cough, swelling, bruising, hair loss, skin rash, blurred vision",11
Dermarest Plus Anti-Itch,dermarest plus anti-itch,Eczema,eczema,hydrocortisone topical,Topical steroids,dermarest plus anti-itch eczema hydrocortisone topical topical steroids,dermarest plus anti-itch eczema hydrocortisone topical topical steroid,"nausea, diarrhea, dry mouth, weight gain, swelling",5
Dermovate,dermovate,Eczema,eczema,clobetasol (topical application route),Topical steroids,dermovate eczema clobetasol (topical application route) topical steroids,dermovate eczema clobetasol topical steroid,"nausea, vomiting, headache, rash, itching, dry mouth, weight loss, cough, stomach pain, swelling, bruising, hair loss, skin rash, blurred vision",14
Dermtex HC,dermtex hc,Eczema,eczema,hydrocortisone topical,Topical steroids,dermtex hc eczema hydrocortisone topical topical steroids,dermtex hc eczema hydrocortisone topical topical steroid,"nausea, diarrhea, dry mouth, weight gain, swelling",5
Desonate,desonate,Eczema,eczema,desonide topical,Topical steroids,desonate eczema desonide topical topical steroids,desonate eczema desonide topical topical steroid,"stinging, burning of treated skin, skin irritation, redness, itching, hardening, dry, scaly, oily skin, swelling in your hands, feet, acne, stretch marks, crusting around your hair follicles",14
doxepin,doxepin,Eczema,eczema,doxepin topical,Topical antihistamines,doxepin eczema doxepin topical topical antihistamines,doxepin eczema doxepin topical topical antihistamine,"drowsiness, dry mouth, swelling, confusion, blurred vision",5
Fluocinonide-E,fluocinonide-e,Eczema,eczema,fluocinonide topical,Topical steroids,fluocinonide-e eczema fluocinonide topical topical steroids,fluocinonide-e eczema fluocinonide topical topical steroid,"nausea, diarrhea, headache, itching, weight gain, swelling",6
hydrocortisone / iodoquinol,hydrocortisone / iodoquinol,Eczema,eczema,,,hydrocortisone / iodoquinol eczema,hydrocortisone iodoquinol eczema,"itching, swelling, bruising",3
Itch-X Lotion,itch-x lotion,Eczema,eczema,hydrocortisone topical,Topical steroids,itch-x lotion eczema hydrocortisone topical topical steroids,itch-x lotion eczema hydrocortisone topical topical steroid,"nausea, diarrhea, dry mouth, weight gain, swelling",5
NuCort,nucort,Eczema,eczema,hydrocortisone (topical application route),Topical steroids,nucort eczema hydrocortisone (topical application route) topical steroids,nucort eczema hydrocortisone topical steroid,"itching, swelling, bruising",3
Pandel,pandel,Eczema,eczema,hydrocortisone topical,Topical steroids,pandel eczema hydrocortisone topical topical steroids,pandel eczema hydrocortisone topical topical steroid,"nausea, diarrhea, dry mouth, weight gain, swelling",5
Prudoxin,prudoxin,Eczema,eczema,doxepin topical,Topical antihistamines,prudoxin eczema doxepin topical topical antihistamines,prudoxin eczema doxepin topical topical antihistamine,"burning, stinging where the medicine was applied, mild drowsiness, dry mouth",4
Sarnol-HC,sarnol-hc,Eczema,eczema,hydrocortisone topical,Topical steroids,sarnol-hc eczema hydrocortisone topical topical steroids,sarnol-hc eczema hydrocortisone topical topical steroid,"nausea, diarrhea, dry mouth, weight gain, swelling",5
Temovate,temovate,Eczema,eczema,clobetasol topical,Topical steroids,temovate eczema clobetasol topical topical steroids,temovate eczema clobetasol topical topical steroid,"burning, itching, swelling, irritation of treated skin, dry, cracking skin, redness, crusting around your hair follicles, spider veins, stretch marks, thinning skin, rash, hives, acne, temporary hair loss",15
Texacort,texacort,Eczema,eczema,hydrocortisone (topical application route),Topical steroids,texacort eczema hydrocortisone (topical application route) topical steroids,texacort eczema hydrocortisone topical steroid,"itching, swelling, bruising",3
U-Cort,u-cort,Eczema,eczema,hydrocortisone (topical application route),Topical steroids,u-cort eczema hydrocortisone (topical application route) topical steroids,u-cort eczema hydrocortisone topical steroid,"itching, swelling, bruising",3
Vanos,vanos,Eczema,eczema,fluocinonide topical,Topical steroids,vanos eczema fluocinonide topical topical steroids,vanos eczema fluocinonide topical topical steroid,"burning, stinging, itching, dryness of treated skin, redness, crusting around your hair follicles, stretch marks, spider veins, acne, lightened color of treated skin, headache, stuffy nose, sore throat",13
Verdeso,verdeso,Eczema,eczema,desonide topical,Topical steroids,verdeso eczema desonide topical topical steroids,verdeso eczema desonide topical topical steroid,"stinging, burning of treated skin, skin irritation, redness, itching, hardening, dry, scaly, oily skin, swelling in your hands, feet, acne, stretch marks, crusting around your hair follicles",14
Zonalon,zonalon,Eczema,eczema,doxepin topical,Topical antihistamines,zonalon eczema doxepin topical topical antihistamines,zonalon eczema doxepin topical topical antihistamine,"burning, stinging where the medicine was applied, mild drowsiness, dry mouth",4
Alcortin A,alcortin a,Eczema,eczema,"aloe polysaccharides, hydrocortisone, and iodoquinol (topical)",Topical steroids with anti-infectives,"alcortin a eczema aloe polysaccharides, hydrocortisone, and iodoquinol (topical) topical steroids with anti-infectives",alcortin eczema aloe polysaccharide hydrocortisone iodoquinol topical steroid anti-infectives,"nausea, diarrhea, itching, dry mouth, weight gain, swelling",6
aloe polysaccharides / iodoquinol,aloe polysaccharides / iodoquinol,Eczema,eczema,Iodoquinol,Topical anti-infectives,aloe polysaccharides / iodoquinol eczema iodoquinol topical anti-infectives,aloe polysaccharide iodoquinol eczema iodoquinol topical anti-infectives,"rash, itching, fever, swelling",4
aloe vera / hydrocortisone / iodoquinol,aloe vera / hydrocortisone / iodoquinol,Eczema,eczema,"aloe polysaccharides, hydrocortisone, and iodoquinol (topical)",Topical steroids with anti-infectives,"aloe vera / hydrocortisone / iodoquinol eczema aloe polysaccharides, hydrocortisone, and iodoquinol (topical) topical steroids with anti-infectives",aloe vera hydrocortisone iodoquinol eczema aloe polysaccharide hydrocortisone iodoquinol topical steroid anti-infectives,"nausea, diarrhea, itching, dry mouth, weight gain, swelling",6
Aloquin,aloquin,Eczema,eczema,Iodoquinol,Topical anti-infectives,aloquin eczema iodoquinol topical anti-infectives,aloquin eczema iodoquinol topical anti-infectives,"rash, itching, fever, swelling",4
ammonium lactate / halobetasol,ammonium lactate / halobetasol,Eczema,eczema,Halobetasol Cream and Ointment with Lactic Acid Cream,Topical steroids,ammonium lactate / halobetasol eczema halobetasol cream and ointment with lactic acid cream topical steroids,ammonium lactate halobetasol eczema halobetasol cream ointment lactic acid cream topical steroid,"headache, dizziness, rash, itching, weight gain, weight loss, fever, swelling, confusion",9
ammonium lactate/urea,ammonium lactate/urea,Eczema,eczema,ammonium lactate and urea (topical),Topical emollients,ammonium lactate/urea eczema ammonium lactate and urea (topical) topical emollients,ammonium lactateurea eczema ammonium lactate urea topical emollient,"rash, swelling",2
Apexicon,apexicon,Eczema,eczema,diflorasone topical,Topical steroids,apexicon eczema diflorasone topical topical steroids,apexicon eczema diflorasone topical topical steroid,"redness, crusting around your hair follicles, burning, itching of treated skin, lightened color of treated skin, skin dryness, irritation, acne, skin rash, increased hair growth, stretch marks, white, pruned appearance of the skin",13
Capex,capex,Eczema,eczema,fluocinolone topical,Topical steroids,capex eczema fluocinolone topical topical steroids,capex eczema fluocinolone topical topical steroid,"burning, itching, irritation of treated skin, increased hair growth, white, pruned appearance of the skin, rash, pimples, changes in color of treated skin",9
Carb-O-Lac5,carb-o-lac5,Eczema,eczema,ammonium lactate and urea (topical),Topical emollients,carb-o-lac5 eczema ammonium lactate and urea (topical) topical emollients,carb-o-lac5 eczema ammonium lactate urea topical emollient,"rash, swelling",2
Carb-O-Lac HP,carb-o-lac hp,Eczema,eczema,ammonium lactate and urea (topical),Topical emollients,carb-o-lac hp eczema ammonium lactate and urea (topical) topical emollients,carb-o-lac hp eczema ammonium lactate urea topical emollient,"rash, swelling",2
Clobevate,clobevate,Eczema,eczema,clobetasol (topical application route),Topical steroids,clobevate eczema clobetasol (topical application route) topical steroids,clobevate eczema clobetasol topical steroid,"nausea, vomiting, headache, rash, itching, dry mouth, weight loss, cough, stomach pain, swelling, bruising, hair loss, skin rash, blurred vision",14
Clodan,clodan,Eczema,eczema,clobetasol topical,Topical steroids,clodan eczema clobetasol topical topical steroids,clodan eczema clobetasol topical topical steroid,"burning, itching, swelling, irritation of treated skin, dry, cracking skin, redness, crusting around your hair follicles, spider veins, stretch marks, thinning skin, rash, hives, acne, temporary hair loss",15
Cordran SP,cordran sp,Eczema,eczema,flurandrenolide topical,Topical steroids,cordran sp eczema flurandrenolide topical topical steroids,cordran sp eczema flurandrenolide topical topical steroid,"nausea, diarrhea, rash, itching, dry mouth, weight gain, swelling",7
Cormax,cormax,Eczema,eczema,clobetasol (topical application route),Topical steroids,cormax eczema clobetasol (topical application route) topical steroids,cormax eczema clobetasol topical steroid,"nausea, vomiting, headache, rash, itching, dry mouth, weight loss, cough, stomach pain, swelling, bruising, hair loss, skin rash, blurred vision",14
Cormax Scalp,cormax scalp,Eczema,eczema,clobetasol (topical application route),Topical steroids,cormax scalp eczema clobetasol (topical application route) topical steroids,cormax scalp eczema clobetasol topical steroid,"nausea, vomiting, headache, rash, itching, dry mouth, weight loss, cough, stomach pain, swelling, bruising, hair loss, skin rash, blurred vision",14
Cyclocort,cyclocort,Eczema,eczema,amcinonide topical,Topical steroids,cyclocort eczema amcinonide topical topical steroids,cyclocort eczema amcinonide topical topical steroid,"burning, itching, irritation, dryness of treated skin, redness, crusting around your hair follicles, acne, increased hair growth, stretch marks, thinning skin, white, other covering",12
Derma-Smoothe / FS,derma-smoothe / fs,Eczema,eczema,fluocinolone (topical application route),Topical steroids,derma-smoothe / fs eczema fluocinolone (topical application route) topical steroids,derma-smoothe f eczema fluocinolone topical steroid,"vomiting, diarrhea, headache, rash, itching, fever, cough, swelling, skin rash",9
Derma-Smoothe / FS (Body Oil),derma-smoothe / fs (body oil),Eczema,eczema,fluocinolone topical oil,,derma-smoothe / fs (body oil) eczema fluocinolone topical oil,derma-smoothe f eczema fluocinolone topical oil,"headache, rash, itching, weight gain, fever, cough, swelling, bruising, hair loss, skin rash, blurred vision",11
Dermatop,dermatop,Eczema,eczema,prednicarbate (topical application route),Topical steroids,dermatop eczema prednicarbate (topical application route) topical steroids,dermatop eczema prednicarbate topical steroid,"rash, itching, swelling, bruising, skin rash",5
Dermazene,dermazene,Eczema,eczema,Iodoquinol and Hydrocortisone Cream,Topical steroids with anti-infectives,dermazene eczema iodoquinol and hydrocortisone cream topical steroids with anti-infectives,dermazene eczema iodoquinol hydrocortisone cream topical steroid anti-infectives,"headache, dizziness, rash, itching, weight gain, weight loss, fever, swelling, confusion",9
diflorasone,diflorasone,Eczema,eczema,diflorasone topical,Topical steroids,diflorasone eczema diflorasone topical topical steroids,diflorasone eczema diflorasone topical topical steroid,"rash, itching, weight gain, swelling, skin rash, blurred vision",6
Embeline,embeline,Eczema,eczema,clobetasol (topical application route),Topical steroids,embeline eczema clobetasol (topical application route) topical steroids,embeline eczema clobetasol topical steroid,"nausea, vomiting, headache, rash, itching, dry mouth, weight loss, cough, stomach pain, swelling, bruising, hair loss, skin rash, blurred vision",14
Embeline E,embeline e,Eczema,eczema,clobetasol (topical application route),Topical steroids,embeline e eczema clobetasol (topical application route) topical steroids,embeline eczema clobetasol topical steroid,"nausea, vomiting, headache, rash, itching, dry mouth, weight loss, cough, stomach pain, swelling, bruising, hair loss, skin rash, blurred vision",14
Flac,flac,Eczema,eczema,fluocinolone otic,Otic steroids,flac eczema fluocinolone otic otic steroids,flac eczema fluocinolone otic otic steroid,"rash, itching, weight gain, swelling",4
halcinonide,halcinonide,Eczema,eczema,halcinonide topical,Topical steroids,halcinonide eczema halcinonide topical topical steroids,halcinonide eczema halcinonide topical topical steroid,"rash, itching, dry mouth, weight gain, swelling",5
Kerasal Ultra 20,kerasal ultra 20,Eczema,eczema,Urea in Ammonium Lactate Cream,Topical emollients,kerasal ultra 20 eczema urea in ammonium lactate cream topical emollients,kerasal ultra 20 eczema urea ammonium lactate cream topical emollient,"rash, itching, fever, swelling",4
LoKara,lokara,Eczema,eczema,desonide topical,Topical steroids,lokara eczema desonide topical topical steroids,lokara eczema desonide topical topical steroid,"stinging, burning of treated skin, skin irritation, redness, itching, hardening, dry, scaly, oily skin, swelling in your hands, feet, acne, stretch marks, crusting around your hair follicles",14
Nolix,nolix,Eczema,eczema,flurandrenolide topical,Topical steroids,nolix eczema flurandrenolide topical topical steroids,nolix eczema flurandrenolide topical topical steroid,"burning, itching, irritation of treated skin, increased hair growth, white, pruned appearance of the skin, rash, pimples, changes in color of treated skin",9
Olux,olux,Eczema,eczema,clobetasol topical,Topical steroids,olux eczema clobetasol topical topical steroids,olux eczema clobetasol topical topical steroid,"burning, itching, swelling, irritation of treated skin, dry, cracking skin, redness, crusting around your hair follicles, spider veins, stretch marks, thinning skin, rash, hives, acne, temporary hair loss",15
Olux-E,olux-e,Eczema,eczema,clobetasol topical,Topical steroids,olux-e eczema clobetasol topical topical steroids,olux-e eczema clobetasol topical topical steroid,"rash, itching, dry mouth, weight gain, swelling, hair loss, blurred vision",7
prednicarbate,prednicarbate,Eczema,eczema,prednicarbate topical,Topical steroids,prednicarbate eczema prednicarbate topical topical steroids,prednicarbate eczema prednicarbate topical topical steroid,"nausea, diarrhea, rash, itching, dry mouth, weight gain, swelling",7
Quinja,quinja,Eczema,eczema,Iodoquinol,Topical anti-infectives,quinja eczema iodoquinol topical anti-infectives,quinja eczema iodoquinol topical anti-infectives,"rash, itching, fever, swelling",4
Synalar,synalar,Eczema,eczema,fluocinolone topical,Topical steroids,synalar eczema fluocinolone topical topical steroids,synalar eczema fluocinolone topical topical steroid,"burning, itching, irritation of treated skin, increased hair growth, white, pruned appearance of the skin, rash, pimples, changes in color of treated skin",9
Tovet,tovet,Eczema,eczema,clobetasol topical,Topical steroids,tovet eczema clobetasol topical topical steroids,tovet eczema clobetasol topical topical steroid,"burning, itching, swelling, irritation of treated skin, dry, cracking skin, redness, crusting around your hair follicles, spider veins, stretch marks, thinning skin, rash, hives, acne, temporary hair loss",15
Ultralytic,ultralytic,Eczema,eczema,ammonium lactate and urea (topical),Topical emollients,ultralytic eczema ammonium lactate and urea (topical) topical emollients,ultralytic eczema ammonium lactate urea topical emollient,"rash, swelling",2
Ultralytic 2,ultralytic 2,Eczema,eczema,ammonium lactate and urea (topical),Topical emollients,ultralytic 2 eczema ammonium lactate and urea (topical) topical emollients,ultralytic eczema ammonium lactate urea topical emollient,"rash, swelling",2
Vytone,vytone,Eczema,eczema,hydrocortisone and iodoquinol (topical application route),Topical steroids with anti-infectives,vytone eczema hydrocortisone and iodoquinol (topical application route) topical steroids with anti-infectives,vytone eczema hydrocortisone iodoquinol topical steroid anti-infectives,"itching, swelling, bruising",3
Cialis,cialis,Erectile Dysfunction,erectile dysfunction,tadalafil,Impotence agents,cialis erectile dysfunction tadalafil impotence agents,cialis erectile dysfunction tadalafil impotence agent,"headache, flushing warmth, redness, tingly feeling, nausea, upset stomach, stuffy nose, muscle pain, back pain, pain in your arms, legs, back",12
sildenafil,sildenafil,Erectile Dysfunction,erectile dysfunction,sildenafil (oral),"Agents for pulmonary hypertension, Impotence agents","sildenafil erectile dysfunction sildenafil (oral) agents for pulmonary hypertension, impotence agents",sildenafil erectile dysfunction sildenafil agent pulmonary hypertension impotence agent,"flushing warmth, redness, tingly feeling, headache, dizziness, heartburn, nausea, upset stomach abnormal vision runny, stuffy nose, nosebleeds, sleep problems, muscle pain, back pain",13
Viagra,viagra,Erectile Dysfunction,erectile dysfunction,sildenafil (oral),Impotence agents,viagra erectile dysfunction sildenafil (oral) impotence agents,viagra erectile dysfunction sildenafil impotence agent,"flushing warmth, redness, tingly feeling, headache, dizziness, abnormal vision runny, stuffy nose, nosebleeds, sleep problems, muscle pain, back pain, upset stomach",12
